Price,KM,HP,Automatic,CC
14750,80425,90,0,2000
11790,78677,110,1,1600
11450,78425,110,0,1600
13500,78108,90,0,2000
10950,77321,110,0,1600
13500,75699,69,0,1900
10950,75697,97,0,1400
10950,74846,97,0,1400
12950,74319,110,0,1600
11950,74285,110,0,1600
12450,74172,110,0,1600
11950,73042,110,0,1598
14950,71793,110,0,1600
12450,71200,110,0,1600
12950,67805,110,0,1600
11950,65988,110,0,1600
11690,65345,97,0,1400
12450,64564,110,0,1600
12750,63459,97,0,1400
11925,63451,97,0,1400
12950,62000,110,0,1600
11950,61300,97,0,1400
12900,61200,110,0,1600
11900,61000,110,0,1600
11650,60829,110,0,1600
10950,60500,110,0,1600
13950,59500,69,0,1900
13950,59000,110,1,1600
11950,58954,110,0,1600
10950,58798,110,0,1600
12450,58363,110,0,1600
11950,58277,110,0,1600
13500,57711,90,0,2000
11690,57269,110,0,1600
13500,56001,110,0,1600
11950,55968,110,0,1600
12900,55678,110,0,1600
13500,55539,110,0,1600
11750,55400,110,0,1600
11750,55350,110,0,1600
10850,54600,110,0,1600
11750,53773,110,0,1600
14950,53719,110,1,1600
9940,53644,110,0,1600
12900,53350,110,0,1600
13500,53000,110,0,1600
11750,52084,97,0,1400
11950,52000,97,0,1400
13450,51945,110,0,1600
11950,51732,97,0,1400
12495,50873,110,0,1600
13500,50856,110,0,1600
12750,50640,110,0,1600
12000,50000,97,0,1400
11950,49500,110,0,1600
12495,49332,110,0,1600
12450,49291,110,0,1600
14750,48952,90,0,2000
10950,48945,110,0,1600
13500,48928,69,0,1900
12950,48197,110,0,1600
13500,48052,69,0,1900
13450,48011,110,0,1600
13500,48000,110,0,1600
11480,47350,110,0,1600
13450,46821,97,0,1400
11495,46694,110,0,1600
12750,46515,97,0,1400
14990,46327,110,0,1600
12950,46304,97,0,1400
12950,45886,110,0,1600
12850,45713,97,0,1400
13950,45600,110,1,1600
11950,45287,110,0,1600
12950,45081,110,0,1600
11700,44830,110,0,1600
9950,44757,97,0,1400
11895,44218,97,0,1400
12950,43632,110,0,1600
12500,43427,110,0,1600
13875,43254,110,0,1600
10500,43000,110,0,1600
12295,42823,110,0,1600
13950,42560,110,0,1600
10950,41754,110,0,1600
12950,41499,110,0,1600
12850,41339,110,0,1600
13995,41000,110,0,1600
13750,40000,110,0,1600
12750,39757,110,0,1600
12500,39659,110,0,1600
13950,39650,110,0,1600
11500,39524,97,0,1398
13950,39516,97,0,1400
11895,39439,97,0,1400
9950,39000,97,0,1400
13500,38932,110,0,1600
11450,38812,97,0,1400
12450,38665,110,0,1600
12950,38653,110,0,1600
13995,38461,110,0,1600
11750,38078,97,0,1400
11650,37782,97,0,1400
9950,37576,97,0,1400
13950,37533,110,0,1600
12950,37389,110,0,1600
10950,37320,97,0,1400
9900,37000,97,0,1400
11950,37000,110,0,1600
11990,36566,110,0,1600
10750,36269,110,0,1600
13950,36074,110,1,1600
11250,36066,110,0,1600
12950,34599,110,0,1600
11950,34000,110,0,1600
10950,33623,97,0,1400
12950,33591,110,0,1600
12950,33258,110,0,1600
11695,33113,110,0,1600
11000,33000,110,1,1600
13950,32941,110,0,1600
11950,32781,110,0,1600
11750,32532,110,0,1600
12400,32431,97,0,1400
12500,32000,110,0,1600
12900,31000,110,0,1600
12200,30989,110,0,1600
12750,30742,110,0,1600
11950,30190,110,0,1600
11900,29716,116,0,1600
11950,29716,110,1,1600
14950,29640,110,0,1600
11950,29056,97,0,1400
12950,28715,110,0,1600
14950,28571,110,0,1600
13450,28362,110,0,1600
13750,28150,110,0,1600
12950,27301,110,0,1600
12750,27240,110,0,1600
11895,27170,97,0,1400
9950,27141,97,0,1400
12450,26262,110,0,1600
12500,26000,97,0,1400
14950,25228,110,0,1600
13750,25062,110,0,1600
12695,24723,110,1,1600
14990,24650,110,0,1600
12750,24553,110,0,1600
14350,24475,110,0,1600
12950,24444,110,0,1600
11500,24011,97,0,1400
11950,24000,97,0,1400
13450,23616,110,0,1600
12900,22865,110,0,1600
10500,22780,86,0,1300
10950,21904,97,0,1400
11950,21651,97,0,1400
11450,21500,110,0,1600
13250,21027,110,0,1600
10250,18500,110,0,1600
13995,18000,110,0,1600
11950,17051,97,0,1400
13250,16512,97,0,1400
12950,16325,110,0,1600
11750,16000,97,0,1400
11500,12000,110,0,1600
13500,10000,97,0,1400
6500,216000,69,0,1900
6400,198167,69,0,1900
7000,176000,69,0,1900
7750,174139,72,0,2000
8900,174000,69,0,1900
8500,150000,110,0,1600
8950,149329,72,0,2000
9900,146736,110,0,1600
10250,143513,69,0,1900
9250,142130,110,0,1600
7750,140700,69,0,1900
9450,138394,69,0,1900
7750,137000,72,0,2000
8250,135258,69,0,1900
9950,131364,110,0,1600
4450,129155,69,0,1800
9950,126110,110,0,1600
9000,119742,110,0,1600
9950,117913,69,0,1900
12450,117430,90,0,2000
10500,117175,110,0,1600
10750,115558,110,0,1600
8950,115113,97,0,1400
10500,115046,69,0,1900
5150,113997,72,0,2000
10950,107859,97,0,1400
9450,104805,97,0,1400
9950,103454,110,0,1600
10950,103018,69,0,1900
11900,102352,110,0,1600
9950,102030,97,0,1400
11950,101352,110,0,1600
7900,99865,110,0,1600
10950,99323,110,0,1600
8950,98100,69,0,1900
11950,98040,110,0,1600
10900,97600,110,0,1600
9950,97234,110,0,1600
9950,96135,72,0,2000
10950,96100,110,0,1600
8950,94401,72,0,2000
8950,94122,86,0,1300
10500,91340,110,0,1600
8950,90200,97,0,1400
9250,90097,69,0,1900
11500,89049,97,0,1400
9750,89000,110,0,1600
9950,87274,110,0,1600
11450,86221,110,0,1600
12500,84598,110,0,1600
10500,83567,110,0,1600
12950,83106,110,0,1600
12200,82805,110,0,1600
10950,82735,97,0,1400
10950,81905,110,0,1600
11290,80320,110,1,1600
10750,80090,97,0,1400
10895,79800,110,0,1600
11500,78785,110,0,1600
9750,78600,110,0,1600
10250,77780,110,0,1600
12500,77648,110,0,1600
11950,77270,110,0,1600
10750,76167,97,0,1400
11450,75249,110,0,1600
11950,75231,110,0,1600
11750,75045,110,0,1600
10950,74849,110,1,1600
11950,74715,110,0,1600
10995,74656,69,0,1900
11450,74500,97,0,1400
8900,74494,110,0,1600
10500,73634,110,0,1587
11750,73403,110,0,1600
11450,73175,97,0,1400
12000,73000,110,0,1600
11950,72242,110,1,1600
9850,72000,97,0,1400
10950,71725,110,0,1600
10950,71276,110,0,1600
8695,70440,69,0,1900
10990,70239,110,0,1600
9500,69813,97,0,1400
11950,69659,86,0,1300
10750,69574,97,0,1400
8750,69000,69,0,1900
8750,68565,110,0,1600
11450,68520,72,0,2000
9950,68414,97,0,1400
11950,66777,110,0,1600
13950,66527,110,0,1600
11250,66063,110,0,1600
10900,65471,97,0,1400
9750,65400,97,0,1400
9950,65170,97,0,1400
11950,65000,110,0,1600
10450,64193,110,0,1600
8950,64000,97,0,1400
10250,63792,110,0,1600
9930,63635,110,0,1600
10500,63135,110,0,1600
11950,63123,110,0,1600
11500,63000,69,0,1900
11500,63000,110,0,1600
11450,62987,110,0,1600
9900,62751,110,0,1600
9500,62519,97,0,1400
10500,62280,97,0,1400
10750,61672,110,0,1600
8950,61000,69,0,2000
12000,61000,110,0,1600
9940,60558,110,0,1600
10950,60348,110,0,1600
10750,60239,110,0,1600
9799,59000,97,0,1400
11750,58761,97,0,1300
11950,58745,110,0,1600
11250,58596,110,0,1600
11750,58530,110,0,1600
10950,58377,110,0,1600
11250,58142,110,0,1600
9950,57948,97,0,1400
9700,57645,110,0,1600
11950,57500,110,0,1600
9900,57475,110,0,1600
9990,56743,110,0,1600
9475,56675,97,0,1400
11500,55877,110,0,1600
11950,55500,110,0,1600
11500,54900,97,0,1400
10500,54465,110,0,1600
10900,53700,97,0,1400
11700,53561,97,0,1400
11900,53408,110,0,1600
13950,53268,110,0,1600
10950,53116,97,0,1400
10500,52448,97,0,1400
10750,52149,97,0,1400
11950,52141,110,0,1600
10000,52000,97,0,1400
10495,50967,97,0,1400
11450,50400,110,0,1600
9400,50000,97,0,1400
11950,50000,86,0,1300
9650,49969,110,0,1600
18950,49568,110,0,1600
11450,49473,110,0,1600
10250,49432,110,0,1600
11450,49417,110,0,1600
9950,49366,97,0,1400
10500,48731,110,0,1600
13750,48370,110,0,1600
9950,48071,97,0,1400
10250,47852,110,0,1600
10850,47768,110,0,1600
11895,47689,110,0,1600
12950,47451,110,0,1600
11950,47219,110,0,1600
10750,47211,110,0,1600
9550,46856,97,0,1400
10950,46500,86,0,1300
11750,46449,110,0,1600
10950,46391,110,0,1600
12450,46230,110,0,1600
10500,46029,110,0,1600
10900,46000,97,0,1400
12950,45900,110,0,1600
10950,45850,97,0,1400
12500,45336,110,0,1600
9950,44537,97,0,1400
10750,43700,86,0,1300
12500,43120,97,0,1400
10450,41710,110,0,1600
10750,41700,97,0,1400
12950,41636,110,0,1600
10995,41273,97,0,1400
11950,40836,110,1,1600
11250,40400,97,0,1400
11950,40361,110,0,1600
13750,40325,86,0,1300
11000,40000,110,0,1600
13500,39706,110,0,1600
10950,39291,110,0,1600
10750,39000,97,0,1400
8950,38900,97,0,1400
12950,38403,110,0,1600
9750,37461,97,0,1400
10900,37000,97,0,1400
10995,36406,110,0,1600
10750,36005,97,0,1400
10950,36000,110,0,1600
13000,36000,110,0,1600
12950,36000,110,1,1600
11500,35823,110,0,1600
10950,35230,97,0,1400
11710,35142,110,0,1600
9980,34890,97,0,1400
12250,34882,110,0,1600
11500,34000,110,0,1600
11950,33998,110,0,1600
11500,33230,110,0,1600
11900,33021,110,0,1600
11930,31999,97,0,1400
10500,31579,97,0,1400
8950,31000,97,0,1400
10450,30806,97,0,1400
10500,30461,86,0,1300
12950,29686,110,1,1600
9950,29650,86,0,1300
12900,29500,110,0,1600
9950,28656,97,0,1400
9950,27500,97,0,1400
10950,26938,110,0,1600
10950,26624,97,0,1400
9950,26221,97,0,1400
10950,22648,97,0,1400
10800,22500,97,0,1400
10500,19313,97,0,1400
10450,17619,110,0,1600
10600,17069,97,0,1400
10450,15000,97,0,1400
12950,10210,97,0,1400
11250,5309,110,1,1600
7500,1,90,0,2000
8950,31000,97,0,1398
6950,205000,72,0,2000
7900,204250,72,0,2000
5950,194545,86,0,1300
7500,190900,72,0,2000
7500,183500,72,0,2000
6900,176184,72,0,2000
5751,174833,72,0,2000
6950,155720,86,0,1300
7950,155500,110,0,1600
7750,154783,72,0,2000
7950,154462,72,0,2000
8250,150585,110,0,1600
6250,149000,90,0,2000
9500,147636,72,0,2000
6900,144521,72,0,2000
8450,144000,110,0,1600
7350,140168,72,0,2000
8950,140000,110,0,1600
6900,139800,72,0,2000
8950,137050,110,0,1600
8750,136956,110,0,1600
7950,135337,110,0,1600
8950,133769,72,0,2000
8950,133405,72,0,2000
8950,132807,72,0,2000
7950,132393,72,0,2000
7750,130270,110,0,1600
7500,130000,72,0,2000
8950,127000,72,0,2000
9800,126800,72,0,2000
9450,126452,110,0,1600
8950,125175,116,0,2000
8750,125000,72,0,2000
10500,123000,72,0,2000
7995,121626,86,0,1300
10450,120400,110,0,1600
9950,120000,72,0,2000
9950,119541,110,0,1600
8950,119500,110,0,1600
7950,119289,110,0,1600
10950,118833,110,0,1600
9950,118000,72,0,2000
8600,117955,110,1,1600
7250,117609,86,0,1300
6950,117000,72,0,2000
8000,116000,86,0,1300
9950,115715,110,0,1600
9450,115191,110,0,1600
7950,115071,110,0,1600
9450,115000,110,0,1600
9950,114846,110,0,1600
6950,114383,90,0,2000
8250,113700,110,0,1600
9950,113118,86,0,1300
8250,112827,86,0,1300
9950,112116,110,0,1600
10500,112000,110,0,1600
7950,112000,72,0,2000
9750,111769,110,0,1600
9250,110853,110,0,1600
9500,110287,110,0,1600
9950,109547,110,0,1600
7750,109230,110,0,1600
9500,109150,110,0,1600
9950,108793,110,0,1600
9750,106784,110,1,1600
9750,105942,86,0,1300
5950,105000,86,0,1300
8500,105000,86,0,1300
8495,104299,110,0,1600
9250,104000,86,0,1300
6900,104000,86,0,1300
8950,103458,86,0,1300
9500,103400,110,0,1600
9250,102807,86,0,1300
9895,102494,110,0,1600
9950,102300,72,0,2000
7950,102106,110,0,1600
8750,101889,110,0,1600
8250,101791,72,0,2000
8950,101469,110,0,1600
8950,101001,110,0,1600
8950,100748,110,0,1600
8950,100550,110,0,1600
9450,99781,110,0,1600
8950,98658,86,0,1300
9250,98500,110,0,1600
8750,98291,86,0,1300
9950,97648,110,0,1600
9950,97425,110,0,1600
9900,97173,86,0,1300
8950,97046,86,0,1300
8950,96000,110,0,1600
12250,96000,72,0,2000
9250,95750,110,0,1600
10250,95147,110,0,1600
8950,95000,110,0,1600
7999,95000,110,0,1600
9900,94606,110,0,1600
8250,94504,86,0,1300
10500,93428,110,0,1600
8450,93408,86,0,1300
9900,93296,110,0,1600
10500,93098,110,0,1600
8500,92922,72,0,2000
9500,92498,110,0,1600
9450,92226,110,0,1600
9900,91505,72,0,2000
8250,91333,110,0,1600
8750,91246,86,0,1300
9500,91000,110,0,1600
8450,90727,110,0,1600
8490,90000,110,0,1600
8750,89576,110,0,1600
9750,89145,86,0,1300
9950,89000,110,0,1600
8500,88807,110,0,1600
8450,88685,110,0,1600
7900,88667,110,0,1600
8750,88480,110,0,1600
7950,88127,86,0,1300
6900,88000,86,0,1300
8150,87821,86,0,1300
10995,87654,86,1,1300
8900,86888,110,0,1600
9500,86871,86,0,1300
8950,86714,110,0,1600
11500,85889,110,0,1600
10450,85000,110,0,1600
10500,85000,86,0,1300
9250,84976,110,0,1600
10950,84558,110,0,1600
10450,84549,110,0,1600
9250,84482,110,0,1600
8750,83908,110,0,1600
8750,83560,86,0,1300
9800,83000,107,1,1600
8250,82723,86,0,1300
10450,82421,110,0,1600
9750,82254,110,0,1600
8950,82115,110,0,1600
7450,82000,86,0,1300
8450,81965,86,0,1300
8250,81250,110,0,1600
10950,81192,110,0,1600
8950,81170,110,0,1600
8750,81083,86,0,1300
10450,80714,110,0,1600
10950,80470,110,0,1600
8450,80439,110,0,1600
9950,80430,110,0,1600
9950,80426,110,0,1600
8750,80265,86,0,1300
9950,80153,110,0,1600
9500,80121,110,0,1600
8250,80086,110,0,1600
10950,80000,110,0,1600
7950,80000,86,0,1300
8250,80000,86,0,1300
9895,79858,110,0,1600
9130,79762,86,0,1300
10950,79660,86,1,1300
10500,79150,110,0,1600
8900,79000,110,0,1600
9500,78955,86,0,1300
10950,78750,90,0,1975
7950,78521,86,0,1300
7950,78356,86,0,1300
7950,78076,86,0,1300
9500,78063,107,1,1600
10950,77821,110,0,1600
9750,77695,110,0,1600
9750,77500,110,0,1600
9450,77457,110,0,1600
8950,77029,86,0,1300
8950,77008,86,0,1300
8900,76791,110,0,1600
9950,76700,86,0,1300
8750,76569,86,0,1300
8950,76162,110,0,1600
8990,76155,110,0,1600
8950,75609,86,0,1300
8950,75569,72,0,2000
9950,75429,110,0,1600
9900,75000,110,0,1600
8950,75000,86,0,1300
8950,75000,110,0,1600
9500,74963,107,1,1600
7950,74889,86,0,1300
7750,74875,110,0,1600
8950,74747,110,0,1600
11950,74720,110,0,1600
8950,74457,110,0,1600
11950,74337,86,0,1300
8950,74308,110,0,1600
9950,74193,110,0,1600
8250,74179,110,0,1600
8995,73936,86,0,1300
9995,73894,110,0,1600
9250,73500,110,0,1600
10950,73376,110,0,1600
8900,73300,86,0,1300
9500,73172,110,0,1600
9950,72928,110,0,1600
7950,72880,86,0,1332
8250,72522,110,0,1600
9450,72000,86,0,1300
7950,72000,86,0,1300
9500,71366,110,0,1600
8950,71317,110,0,1600
10950,71000,110,0,1600
8950,70954,110,0,1600
9450,70908,86,0,1300
8000,70560,110,0,1600
9900,70552,110,0,1600
8950,70500,110,0,1600
10900,70453,72,0,2000
9450,70218,110,0,1600
8450,70116,110,0,1600
9500,70068,110,0,1600
10500,70000,107,1,1587
6950,70000,86,0,1300
9750,69103,110,0,1600
6950,69022,86,0,1300
9650,69000,110,0,1600
9950,68865,110,0,1600
9250,68723,86,0,1300
8950,68453,110,0,1600
9900,68238,86,0,1300
10995,68153,110,0,1600
10500,68000,110,0,1600
8950,68000,86,0,1300
9750,67762,110,0,1600
10950,67146,110,0,1600
9750,67110,86,0,1300
9950,67010,110,0,1600
10500,67003,110,0,1600
10400,66785,86,1,1300
8800,66550,86,0,1332
10500,66259,110,0,1600
9250,66082,110,0,1600
7800,66000,86,0,1300
9950,66000,110,0,1600
10750,65896,110,0,1600
10950,65785,110,0,1600
9950,65513,110,1,1600
9950,65463,110,0,1600
8100,65400,86,0,1300
9250,65259,110,0,1600
7800,65000,110,0,1600
9000,65000,110,0,1600
8950,65000,110,0,1600
8950,64966,86,0,1300
9950,64950,110,0,1600
8500,64914,110,0,1600
7995,64797,110,0,1600
8750,64772,110,0,1600
9750,64690,86,0,1300
10950,64630,110,0,1600
9750,64613,110,0,1600
8200,64383,86,0,1300
8950,64000,110,0,1600
9500,63881,86,0,1300
10950,63870,72,0,2000
9750,63328,86,1,1300
9950,63000,86,1,1300
10450,63000,86,1,1300
9850,62396,110,0,1600
9450,62377,110,0,1600
10295,62316,110,0,1600
9750,62292,110,0,1600
8950,62225,110,0,1600
9900,62222,110,0,1600
8750,62135,86,0,1300
9950,62024,110,0,1600
8500,61977,86,0,1300
9950,61930,110,0,1600
10950,61682,110,0,1600
9795,61568,110,0,1600
8750,61504,110,0,1600
8250,61384,110,0,1600
9950,61343,110,0,1600
9950,61254,110,0,1600
10500,61166,110,0,1600
9750,61149,86,0,1300
11250,61144,110,0,1600
8900,61127,110,0,1600
7950,61100,86,0,1300
11500,61100,110,0,1600
9450,61000,110,0,1600
7995,60724,86,0,1300
10995,60708,86,0,1300
8950,60532,110,0,1600
8250,60000,86,1,1300
8950,60000,86,0,1300
8950,60000,86,0,1300
9500,59295,86,0,1300
7500,59264,86,0,1300
8950,59000,110,0,1600
9950,59000,86,0,1300
9750,59000,110,0,1600
9450,59000,110,0,1600
9950,59000,110,0,1600
9750,58860,110,0,1600
8950,58829,110,0,1600
8250,58654,110,0,1600
7750,58300,86,0,1300
8950,58269,110,0,1600
9950,58136,110,0,1600
9450,58113,107,1,1600
12950,58058,110,0,1600
9950,58000,110,0,1600
10495,58000,110,0,1600
7950,57565,86,0,1300
10500,57413,107,1,1600
8950,57374,110,0,1600
9900,57179,110,0,1600
9995,57169,110,0,1600
9950,57124,110,0,1600
9950,57000,110,0,1600
8250,57000,110,0,1600
9950,57000,86,0,1300
8950,56259,86,0,1300
10950,56209,107,1,1600
9250,56074,86,0,1300
9950,55942,110,0,1600
9995,55844,86,0,1300
8750,55747,86,0,1300
10950,55478,86,0,1300
10350,55085,107,1,1600
9950,55061,110,0,1600
8950,55000,86,0,1300
10950,55000,110,0,1600
10950,54936,110,0,1600
8950,54875,110,0,1600
8900,54847,110,0,1600
10250,54554,110,0,1600
9450,54125,110,0,1600
9250,54000,110,0,1600
10500,54000,110,0,1600
7350,54000,86,0,1300
10250,54000,110,0,1600
10250,53285,110,0,1600
11500,53053,110,0,1600
8950,53000,110,1,1587
7750,53000,86,0,1300
9500,52968,110,0,1600
8450,52800,86,0,1300
8950,52548,110,0,1600
8400,52487,110,0,1600
9250,52383,86,0,1300
8900,52112,110,0,1600
8750,51712,110,0,1600
10950,51421,110,1,1600
8950,51235,86,0,1300
8950,51000,86,0,1300
8895,50925,110,0,1600
9390,50806,86,0,1300
8750,50469,110,0,1600
9750,50173,110,0,1600
9950,50000,110,0,1600
10950,49942,110,0,1600
9900,49585,110,0,1600
9500,49258,110,0,1600
9950,49000,110,0,1600
9950,48738,110,0,1600
10500,47750,86,0,1300
9950,47612,86,0,1300
10495,47500,86,0,1300
9500,47237,110,0,1600
8500,47171,86,0,1300
10450,47060,110,0,1600
8950,47014,86,0,1300
9900,46929,86,0,1300
8900,46000,86,0,1300
8745,45681,110,0,1600
8750,45549,86,0,1300
10750,45000,110,0,1600
9750,45000,110,0,1600
8850,45000,110,0,1600
7950,45000,86,0,1300
9450,45000,110,0,1600
9950,45000,107,1,1600
8250,44944,110,0,1600
9950,44597,86,0,1300
9995,44458,86,0,1300
9950,43818,110,0,1600
10495,43426,110,0,1600
7950,43000,110,1,1600
8950,43000,110,0,1600
9695,43000,110,0,1600
7750,43000,86,0,1300
9950,42750,110,0,1600
9950,42102,110,0,1600
9950,41586,110,0,1600
9900,41200,110,0,1600
10950,40214,86,0,1300
8950,40000,86,0,1300
8950,39222,86,1,1300
8250,39144,110,0,1600
10250,39000,110,0,1600
8750,38019,110,0,1600
9750,37759,110,0,1600
10950,37500,110,0,1600
10950,37111,110,0,1600
9750,37000,86,0,1300
8900,36954,110,0,1600
9500,36943,110,0,1600
9950,36923,86,0,1300
9950,36658,110,0,1600
8250,36000,86,0,1300
10450,36000,110,0,1600
10950,35512,110,0,1600
9250,35283,86,0,1300
8900,35000,110,0,1600
10900,35000,86,0,1300
9750,34114,110,0,1600
11950,34000,110,0,1600
7900,33847,86,0,1300
10900,33535,110,0,1600
10450,33000,110,0,1600
10950,32150,110,0,1600
9950,31588,86,0,1300
10750,31480,110,0,1600
9900,31307,110,0,1600
10750,31000,110,0,1600
10450,30634,110,0,1600
9450,30300,86,0,1300
10750,28500,86,1,1300
10950,28500,110,0,1600
10000,28000,86,0,1300
10500,26698,110,0,1600
12500,26000,107,1,1600
8950,25505,86,0,1300
10500,25000,110,0,1600
9245,22835,110,0,1600
10950,22705,110,0,1600
9500,22178,86,0,1300
10900,17345,110,0,1600
10950,15535,86,1,1300
9450,15110,86,0,1300
5900,232940,72,0,2000
6950,218118,72,0,2000
6000,217764,72,0,2000
5250,207114,110,0,1600
4400,203254,72,0,2000
6750,200732,72,0,2000
8500,197501,72,0,2000
6150,194765,72,0,2000
6950,191620,72,0,2000
5750,183277,72,0,2000
8750,180378,72,0,2000
6500,178800,72,0,2000
5950,176177,110,0,1600
6500,176000,86,0,1300
10500,172980,72,0,2000
8500,170000,72,0,2000
7950,164000,110,0,1600
5800,161775,86,0,1300
6750,160000,86,0,1300
6950,159968,72,0,2000
5740,159908,110,0,1600
6550,158492,86,0,1300
8950,156204,72,0,2000
6750,156169,86,0,1300
7950,155210,110,0,1600
7950,155000,72,0,2000
7450,154900,72,0,2000
7750,151300,72,0,2000
6450,151000,110,0,1600
7900,150000,72,0,2000
6900,146304,72,0,2000
